Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-21,15.7696,15.7696,15.6563,15.6563,824668.98674545
2005-06-22,15.6563,15.9474,15.6563,15.8268,2310899.3262209
2005-06-23,15.8268,15.8903,15.5991,15.7696,966307.45866124
2005-06-24,15.5991,15.5991,15.3153,15.3716,2109833.9137
2005-06-27,15.3716,15.4858,15.1439,15.201,1341083.3228624
2005-06-28,15.3153,15.5991,15.2582,15.4858,1017480.1674612
2005-06-29,15.4858,15.5429,15.4287,15.4858,891891.4682085
2005-06-30,15.3716,15.6563,15.3153,15.5429,3781609.1518186
2005-07-01,15.4858,15.5991,15.4858,15.5991,955553.58171821
2005-07-04,15.6563,15.7696,15.5429,15.7696,922613.83807048
2005-07-05,15.7134,15.8268,15.4858,15.6563,2104974.6564778
2005-07-06,15.5429,15.7134,15.5429,15.6563,503472.8561948
2005-07-07,15.5429,15.6563,15.0822,15.5429,2393848.5119635
2005-07-08,15.4858,15.6563,15.4858,15.5991,908299.59317409
2005-07-11,15.5991,15.6563,15.5429,15.5991,374263.1447529
2005-07-12,15.5429,15.6563,15.5429,15.5991,546154.26935875
2005-07-13,15.5991,15.9474,15.5429,15.9474,2454792.6610864
2005-07-14,15.8903,16.1741,15.8268,16.0598,3716706.5880309
2005-07-15,16.0598,16.2304,16.0036,16.0598,3508770.7349038
2005-07-18,15.9474,16.0598,15.7134,15.7696,903719.29943664
2005-07-19,15.7696,15.8268,15.6563,15.7134,940180.81925129
2005-07-20,15.7696,15.9474,15.6563,15.7134,987161.35742303
2005-07-21,15.7696,15.8268,15.5429,15.5429,1783818.220336
2005-07-22,15.5429,15.6563,15.4858,15.5429,1976074.7819498
2005-07-25,15.5429,15.7134,15.4858,15.6563,1015306.8985743
2005-07-26,15.6563,15.8268,15.4858,15.5991,918534.13493409
2005-07-27,15.5991,15.6563,15.5429,15.5991,1835746.2255275
2005-07-28,15.5991,15.7696,15.5991,15.6563,1387521.3707792
2005-07-29,15.8268,16.1741,15.8268,16.0036,3259997.0533814
2005-08-01,15.9474,16.2884,15.9474,16.2884,1274295.2746522
2005-08-02,16.2884,16.3456,16.1741,16.2884,670673.42481626
2005-08-03,16.1741,16.2304,15.9474,16.1741,429027.09493539
2005-08-04,16.0036,16.1741,16.0036,16.0036,565363.05539634
2005-08-05,16.0598,16.4009,16.0598,16.4009,897945.96818741
2005-08-08,16.4009,16.9759,16.4009,16.8063,1813048.741997
2005-08-09,16.7492,16.9197,16.5777,16.8625,777412.79295639
2005-08-10,16.9197,17.1473,16.5777,16.6339,1139325.4634307
